"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"DigiCert","thawte Primary Root CA","Removed","","Not Included","NotBefore","Server Authentication;Client Authentication;Code Signing;Secure Email","Removed","","8D722F81A9C113C0791DF136A2966DB26C950A971DB46B4199F4EA54B78BFB9F"
"DigiCert","VeriSign Class 1 Public Primary Certification Authority - G3","Removed","","Not Included","Included","Client Authentication;Secure Email","Removed","","CBB5AF185E942A2402F9EACBC0ED5BB876EEA3C1223623D00447E4F3BA554B65"
"DigiCert","VeriSign Class 2 Public Primary Certification Authority - G3","Removed","","Not Included","Included","Client Authentication;Code Signing;Secure Email","Removed","","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB"
"DigiCert","VeriSign Class 3 Public Primary Certification Authority - G5","Blocked","","Not Included","NotBefore","Server Authentication;Client Authentication;Code Signing;Secure Email","Removed","","9ACFAB7E43C8D880D06B262A94DEEEE4B4659989C3D0CAF19BAF6405E41AB7DF"
"DigiCert","VeriSign Universal Root Certification Authority","Removed","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Removed","","2399561127A57125DE8CEFEA610DDF2FA078B5C8067F4E828290BFB860E84B3C"
"DigiCert","Verizon Global Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Not Yet Included","","68AD50909B04363C605EF13581A939FF2C96372E3F12325B0A6861E1D59F6603"
"DigitalSign - Certificadora Digital, S.A.","DIGITALSIGN GLOBAL ROOT ECDSA CA","Not Included","","Not Included","Not Included","","Included","Email","261D7114AE5F8FF2D8C7209A9DE4289E6AFC9D717023D85450909199F1857CFE"
"DigitalSign - Certificadora Digital, S.A.","DIGITALSIGN GLOBAL ROOT RSA CA","Not Included","","Not Included","Not Included","","Included","Email","82BD5D851ACF7F6E1BA7BFCBC53030D0E7BC3C21DF772D858CAB41D199BDF595"
"Disig, a.s.","CA Disig Root R2","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","E23D4A036D7B70E9F595B1422079D2B91EDFBB1FB651A0633EAA8A9DC5F80703"
"Docaposte Certinomis SAS","Certinomis - Root CA","Removed","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","2A99F5BC1174B73CBB1D620884E01C34E51CCB3978DA125F0E33268883BF4158"
"e-commerce monitoring GmbH","GLOBALTRUST","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","Not Yet Included","","5E3571F33F45A7DF1537A68B5FFB9E036AF9D2F5BC4C9717130DC43D7175AAC7"
"e-commerce monitoring GmbH","GLOBALTRUST 2015","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","416B1F9E84E74C1D19B23D8D7191C6AD81246E641601F599132729F507BEB3CC"
"e-commerce monitoring GmbH","GLOBALTRUST 2020","Blocked","","Removed","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","9A296A5182D1D451A2E37F439B74DAAFA267523329F90F9A0D2007C334E23C9A"
"E-Tugra","E-Tugra Global Root CA ECC v3","Not Included","","Removed","NotBefore","Server Authentication;Client Authentication;Code Signing","Removed","","873F4685FA7F563625252E6D36BCD7F16FC24951F264E47E1B954F4908CDCA13"
"E-Tugra","E-Tugra Global Root CA RSA v3","Not Included","","Removed","NotBefore","Server Authentication;Client Authentication;Code Signing","Removed","","EF66B0B10A3CDB9F2E3648C76BD2AF18EAD2BFE6F117655E28C4060DA1A3F4C2"
"Echoworx","Echoworx Root CA2","Removed","","Not Included","NotBefore","Client Authentication;Document Signing;Secure Email","Not Yet Included","","6639D13CAB85DF1AD9A23C443B3A60901E2B138D456FA71183578108884EC6BF"
"EDICOM","CAEDICOM Root","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","1501F89C5C4DCF36CF588A17C9FD7CFCEB9EE01E8729BE355E25DE80EB6284B4"
"eMudhra Technologies Limited","emSign ECC Root CA - C3","Not Included","","Removed","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","BC4D809B15189D78DB3E1D8CF4F9726A795DA1643CA5F1358E1DDB0EDC0D7EB3"
"eMudhra Technologies Limited","emSign ECC Root CA - G3","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","86A1ECBA089C4A8D3BBE2734C612BA341D813E043CF9E8A862CD5C57A36BBE6B"
"eMudhra Technologies Limited","emSign Root CA - C1","Not Included","","Removed","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites;Email","125609AA301DA0A249B97A8239CB6A34216F44DCAC9F3954B14292F2E8C8608F"
"eMudhra Technologies Limited","emSign Root CA - C2","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","46CD083B47E80402028DF493960EA19C85FE851950D5165F1C7DA4FAA951E2F8"
"eMudhra Technologies Limited","emSign Root CA - G1","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites;Email","40F6AF0346A99AA1CD1D555A4E9CCE62C7F9634603EE406615833DC8C8D00367"
"eMudhra Technologies Limited","emSign Root CA - G2","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","1AA0C2709E831BD6E3B5129A00BA41F7EEEF020872F1E6504BF0F6C3F24F3AF3"
"Entrust","AffirmTrust 4K TLS Root CA - 2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","A7DEDF5A842167DD12FDAA0F2080E73295B8B8BEA71B2094EA0950945A482FC1"
"Entrust","AffirmTrust Commercial","Included","serverAuth;clientAuth","Removed","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","0376AB1D54C5F9803CE4B2E201A0EE7EEF7B57B636E8A93C9B8D4860C96F5FA7"
"Entrust","AffirmTrust Networking","Included","serverAuth;clientAuth","Removed","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","0A81EC5A929777F145904AF38D5D509F66B5E2C58FCDB531058B0E17F3F0B41B"
"Entrust","AffirmTrust Premium","Included","serverAuth;clientAuth","Removed","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","70A73F7F376B60074248904534B11482D5BF0E698ECC498DF52577EBF2E93B9A"
"Entrust","AffirmTrust Premium ECC","Included","serverAuth;clientAuth","Removed","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","BD71FDF6DA97E4CF62D1647ADD2581B07D79ADF8397EB4ECBA9C5E8488821423"
"Entrust","Entrust 4K EV TLS Root CA - 2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","647987D98D52645DA4D3DE3B80771A0CE02B9B9285E6E86999882170744EC9AA"
"Entrust","Entrust 4K TLS Root CA - 2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","DD6C44B39401B053DBE61120748BBB0F6056007665C168E5C286750EDC8DF129"
"Entrust","Entrust P384 EV TLS Root CA - 2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","937EF8F12276B3C7A3F58E345D09A6EFF01F862F8D2794441CD84D511825FA0C"
"Entrust","Entrust P384 TLS Root CA - 2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","420332EF876EBE78F2AF5D28AAACDE24AAD0C10F8FFAAC469EFD7BD941929568"
"Eviden","Atos TrustedRoot 2011","Included","serverAuth;clientAuth;emailProtection","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;OCSP Signing;Secure Email;Time Stamping","Included","Websites;Email","F356BEA244B7A91EB35D53CA9AD7864ACE018E2D35D5F8F96DDF68A6F41AA474"
"Eviden","Atos TrustedRoot Root CA ECC G2 2020","Included","clientAuth;emailProtection","Not Included","Included","Client Authentication;Document Signing;Secure Email","Included","Email","E38655F4B0190C84D3B3893D840A687E190A256D98052F159E6D4A39F589A6EB"
